CUST_INTRL_ID|CUST_TYPE_CD|JRSDCN_CD|TOTAL_TURNOVER|TOTAL_IN|TOTAL_IN_CT|TOTAL_OUT|TOTAL_OUT_CT|TOTAL_SAVING|SAVING_RATIO|STDDEV_MONTHLY|STABLE_INCOME|DORMACY_MONTHS|CASH_IN_RATIO|CASH_OUT_RATIO|WIRE_IN_RATIO|WIRE_OUT_RATIO
1064|FIN|FINS|146380|79079.17|1.08|67300.67|3.08|11778.5|0.08|1.1400000000000001|0.92|0|0|0.23|1|0.22
1065|FIN|FINS|13551382|6792892.67|8.17|6758489.17|3.75|34403.5|0|0.51|1|0|0.98|0.1|0.01|0.4
1066|FIN|FINS|23740985|15098283.75|4.08|8642701.27|18.25|6455582.48|0.27|0.64|1|0|0|0|0|0.27
1067|FIN|FINS|52346309|24891763.72|3.25|27454545.34|128.75|-2562781.62|-0.05|0.42|0.8300000000000001|0|0|0|0|0.52
1068|FIN|FINS|4691997626|2309249923.76|11.58|2382747702.33|12.67|-73497778.58|-0.02|1.24|0.92|0|0|0|1|0.47000000000000003
1069|FIN|FINS|17047111|8610252.5|108.17|8436858.58|5.83|173393.92|0.01|0.86|1|0|0.8|0|0.2|0.24
1070|FIN|FINS|121242182|37416470.51|10.17|83825711.95|8.92|-46409241.44|-0.38|1.3|0.33|0|0|0|0.52|0.68
1071|FIN|FINS|9591674|4685955.75|3.42|4905717.92|151.92000000000002|-219762.17|-0.02|0.21|1|0|0|0|1|0.14
1072|FIN|FINS|338484865|212525063.85|780.75|125959800.78|17.75|86565263.07|0.26|0.79|1|0|0.62|0|0.21|0.08
1073|FIN|FINS|1672315|659901.08|0.58|1012413.75|26.080000000000002|-352512.67|-0.21|0.98|0.67|4|0|0|0.05|0.24
1074|FIN|FINS|14052|8515.42|0.58|5536.67|2|2978.75|0.21|1.06|0.92|0|0.04|0.87|0.96|0.05
1075|FIN|FINS|625248762|273360653.99|4.5|351888107.52|4.58|-78527453.54|-0.13|0.91|1|0|0|0|0.5700000000000001|0.56
1076|FIN|FINS|18530340|12153127.19|5.42|6377212.66|3.58|5775914.53|0.31|0.89|1|0|0|0|0.97|0
1077|FIN|FINS|5861411297|3387001282.23|5.67|2474410015.05|6.75|912591267.19|0.16|0.85|0.8300000000000001|0|0|0|1|0.19
1078|FIN|FINS|56442|56442.42|0.8300000000000001|0|0|56442.42|1|0.29|0.75|3|1|0|0|0
1079|FIN|FINS|45811006|22982055.14|6.5|22828950.8|809.4200000000001|153104.35|0|1.01|1|0|0|0|1|0.25
1080|FIN|FINS|2537244|1573284.48|23.25|963959.75|4.33|609324.73|0.24|1.07|1|0|0|0|0.06|0.02
1081|FIN|FINS|24584296|11806335.75|85.58|12777960.08|3.17|-971624.3300000001|-0.04|0.5|1|0|0.81|0|0.16|0.4
1082|FIN|FINS|22262481|11257586.42|103.67|11004895|2.33|252691.42|0.01|0.36|1|0|0.8|0|0.18|0.24
1083|FIN|FINS|77465929|38264577.42|18|39201351.42|17|-936774|-0.01|0.5|1|0|0|0.1|0.98|0.45
1084|FIN|FINS|21833565|11402978.58|5.67|10430586.83|12|972391.75|0.04|1.34|0.58|0|0.5|0|0.5|0.28
1085|FIN|FINS|2511|115.67|0.08|2395.08|0.17|-2279.42|-0.91|1.1500000000000001|0.17|0|0|0|0|0
1086|FIN|FINS|32523099|17848559.29|3.92|14674540.2|43.75|3174019.1|0.1|0.64|1|0|0|0|0|0.45
1087|FIN|FINS|41120980|19819548.33|17.17|21301432|1860.83|-1481883.67|-0.04|0.84|1|0|0|0|1|0.36
1088|FIN|FINS|9059298|4579960.92|3.42|4479337.5|12.92|100623.42|0.01|0.51|0.5|0|0.05|0.9500000000000001|0.9500000000000001|0
1089|FIN|FINS|83|83.33|0.08|0|0|83.33|1|0|0.08|11|1|0|0|0
1090|FIN|FINS|365501320|174612834.64|15.92|190888485.19|18.830000000000002|-16275650.55|-0.04|0.23|1|0|0|0.92|0.33|0.03
1091|FIN|FINS|518260732|298141496.1|31.92|220119236.36|342.17|78022259.74|0.15|0.15|1|0|0|0|0.98|0.42
1092|FIN|FINS|25518626|12841355.33|114.58|12677271.08|6.83|164084.25|0.01|0.48|1|0|0.8200000000000001|0|0.18|0.49
1093|FIN|FINS|24054145|11856721.83|7.58|12197423.5|235.67000000000002|-340701.67|-0.01|0.22|1|0|0|0|1|0.44
1094|FIN|FINS|10202120|4752120|4|545e4|2.83|-697880|-0.07|0.54|1|0|0.44|0.5700000000000001|0.56|0.05
1095|FIN|FINS|1267012|633780.83|4.58|633230.83|4.08|550|0|0.64|1|0|0|0.27|1|0.35000000000000003
1096|FIN|FINS|29214|14907.08|0.8300000000000001|14306.58|2.92|600.5|0.02|0.87|0.92|0|0|0.71|1|0.09
1097|FIN|FINS|297299|118487.58|2.58|178811.83000000002|2.08|-60324.25|-0.2|1.1300000000000001|0.75|0|0.06|0|0.37|0.25
1098|FIN|FINS|2718935|1364698.75|227.58|1354236.33|39.83|10462.42|0|0.6900000000000001|0.33|0|0.49|1|0.51|0
1099|FIN|FINS|80348765|80348765.25|0.17|0|0|80348765.25|1|0.16|0.17|9|0|0|1|0
1100|FIN|FINS|34162841|17127831.47|411.92|17035009.39|377.92|92822.08|0|0.77|1|0|0.58|0.08|0.42|0.1
1101|FIN|FINS|2710093|907573.3300000001|4.25|1802520|3.08|-894946.67|-0.33|1.48|0.42|7|0.01|0|0.99|0.39
1102|FIN|FINS|22583859|12833496.75|11.42|9750362|26.92|3083134.75|0.14|0.27|1|0|0.26|0.8200000000000001|0.62|0
1103|FIN|FINS|8605143|3903037.92|8.5|4702105.08|11.92|-799067.17|-0.09|0.67|1|0|0.33|0.88|0.48|0.07
1104|FIN|FINS|6358656088|3419994974.56|34.67|2938661113.37|17|481333861.19|0.08|1.07|1|0|0|0|0.43|0.21
1105|FIN|FINS|57459699|29716666.67|5.08|27743032.64|16.5|1973634.03|0.03|0.67|1|0|0|0|0|0.48
1106|FIN|FINS|40919498|20587042.17|72.67|20332456.08|10.42|254586.08000000002|0.01|1.33|1|0|0.01|0|0.01|0.37
1107|FIN|FINS|17912651|9223431.92|314.17|8689219.17|231.75|534212.75|0.03|0.55|1|0|0.55|0.81|0.45|0.07
1108|FIN|FINS|8241237|3472143|5.08|4769094.25|8.5|-1296951.25|-0.16|0.49|0.92|0|0.07|0.87|0.46|0.07
1109|FIN|FINS|118892512|59285552.93|137|59606959.35|195.5|-321406.42|0|0.32|1|0|0.37|0|0.25|0.02
1110|FIN|FINS|3539780|1842997|50.33|1696783.3900000001|12.08|146213.61000000002|0.04|0.52|1|0|0.49|0|0.45|0.4
1111|FIN|FINS|20158|10079.130000000001|0.08|10079.130000000001|0.08|0|0|0|0.08|7|0|0|0|0
1112|FIN|FINS|111838561|74156086.87|11.5|37682474.55|141.25|36473612.32|0.33|0.54|1|0|0|0|0|0.33
1113|FIN|FINS|3856897|3833068.67|75.5|23828.760000000002|0.42|3809239.9|0.99|0.41000000000000003|1|0|0.07|0|0.06|0
1114|FIN|FINS|10903485|5489768.84|8.08|5413716.25|8.42|76052.59|0.01|0.58|1|0|0.1|0.84|0.8200000000000001|0.08
1115|FIN|FINS|399644|191666.67|0.5|207977.5|5.83|-16310.83|-0.04|0.5|1|0|0|0.06|0.74|0.49
1116|FIN|FINS|137538816|13294972.91|9|124243843.16|68.17|-110948870.25|-0.81|1.82|1|0|0|0.01|0.48|0.88
1117|FIN|FINS|212097|52255.08|1.25|159842|11.75|-107586.92|-0.51|0.99|1|0|0.01|0.56|0.97|0.01
1118|FIN|FINS|5|0|0|4.63|0.08|-4.63|-1|0|0.08|10|0|1|0|0
1119|FIN|FINS|8375417|0|0|8375416.79|0.17|-8375416.79|-1|1.4000000000000001|0.17|1|0|0|0|1
1120|FIN|FINS|23654584|11940133.13|36.83|11714451.29|13.42|225681.83000000002|0.01|0.87|1|0|0.78|0.4|0.11|0.29
1121|FIN|FINS|64142843|32071726.83|1.17|32071116.58|1.08|610.25|0|0.53|1|0|0|0|1|0
1122|FIN|FINS|289423118|270625303.68|1916|18797814.08|2.67|251827489.59|0.87|0.62|1|0|0.03|0|0.36|0.06
1123|FIN|FINS|11863176|5834842.57|10.25|6028333.33|12|-193490.76|-0.02|0.3|1|0|0.33|0.71|0.67|0.15
1124|FIN|FINS|2461582|1653536.67|0.92|808045.42|10|845491.25|0.34|2.21|1|0|0|0|0.01|0.07
1125|FIN|FINS|325667|163291.58000000002|1.58|162375|3.67|916.58|0|0.22|0.92|0|0|1|0|0
1126|FIN|FINS|16892|8141.92|1.42|8750|0.25|-608.08|-0.04|0.73|0.42|0|0|1|1|0
1127|FIN|FINS|10068774|4718205.23|79.67|5350569|6.83|-632363.77|-0.06|0.46|1|0|0.06|0.76|0.37|0.12
1128|FIN|FINS|55254|37182.5|0.8300000000000001|18071.670000000002|3.58|19110.83|0.35000000000000003|1.44|0.75|0|0|0.14|1|0.22
1129|FIN|FINS|1794928|916659|2.08|878269.42|32.92|38389.58|0.02|0.98|1|0|0|0|0.15|0.22
1130|FIN|FINS|5864132|2928169.33|6.67|2935962.33|407.92|-7793|0|0.8|1|0|0.01|0|0.59|0.49
1131|FIN|FINS|3078584|1354166.67|4.58|1724417.81|3.58|-370251.15|-0.12|0.8|1|0|1|0.19|0|0.45
1132|FIN|FINS|280421|173921.08000000002|3.25|106500|0.17|67421.08|0.24|1.9000000000000001|0.8300000000000001|1|0|0|0.98|0.38
1133|FIN|FINS|750|750|0.75|0|0|750|1|0|0.08|11|0|0|0.33|0
1134|FIN|FINS|625425622|312712954.58|30.92|312712667.08|37.33|287.5|0|0.32|1|0|0|0|0.97|0.14
1135|FIN|FINS|93432427|86159967.25|108|7272459.83|0.92|78887507.42|0.84|0.78|1|0|0|0|0.04|0.02
1136|FIN|FINS|1068608513|82300181.29|201.42000000000002|986308331.37|226.75|-904008150.07|-0.85|1.17|1|0|0|0|0.22|0.53
1137|FIN|FINS|1341667|341666.67|0.17|1e6|0.25|-658333.33|-0.49|1.1300000000000001|0.25|3|0|0|0.02|0
1138|FIN|FINS|454403|233333.33000000002|0.5|221069.92|4.17|12263.42|0.03|0.56|1|0|0|0|0|0.45
1139|FIN|FINS|689828477|447731811.37|1.75|242096665.45|0.92|205635145.93|0.3|0.9500000000000001|0.42|0|0|0|1|0.35000000000000003
1140|FIN|FINS|55746798|55746798.25|0.17|0|0|55746798.25|1|0|0.08|10|0|0|1|0
1141|FIN|FINS|184934053|143038764.11|30.580000000000002|41895289.05|219.83|101143475.06|0.55|0.54|1|0|0|0|0|0.22
1142|FIN|FINS|7523|2523.33|0.5|5e3|0.17|-2476.67|-0.33|1.03|0.5|1|0.66|0.67|0.34|0
1143|FIN|FINS|99328544|52444201.58|7.83|46884342.67|344.75|5559858.92|0.06|0.42|1|0|0|0.01|1|0.38
1144|FIN|FINS|17664276|8422017.67|20.080000000000002|9242258.5|6.42|-820240.8300000001|-0.05|0.79|1|0|0.9500000000000001|0.12|0.02|0.45
1145|FIN|FINS|31083656|19103624.79|27.92|11980030.92|28.67|7123593.88|0.23|0.75|1|0|0.01|0.05|0.23|0.14
1146|FIN|FINS|37949798|18895126.84|64.08|19054671.59|4.08|-159544.75|0|0.76|1|0|0.93|0|0.06|0.23
1147|FIN|FINS|2933597|1135798.58|12.17|1797798.5899999999|1.25|-662000.01|-0.23|0.98|0.92|1|0.01|0|0.24|0.11
1148|FIN|FINS|8904166|4469484.1|4.67|4434682.35|293.83|34801.75|0|1.1300000000000001|1|0|0|0|1|0.5
1149|FIN|FINS|5609142|3010327.48|2.67|2598814.25|4|411513.23|0.07|0.36|0.42|0|0|0.99|1|0
1150|FIN|FINS|5196051|2789641.25|6.17|2406409.58|4.17|383231.67|0.07|0.77|0.8300000000000001|0|0.93|0.32|0.06|0.01
1151|FIN|FINS|89593|67687.67|0.08|21905.08|1|45782.58|0.51|1.75|0.5|0|0|0.54|1|0.11
1152|FIN|FINS|124166717|30833333.33|0.92|93333383.33|3|-62500050|-0.5|0.73|0.33|1|0|0|0|0.62
1153|FIN|FINS|6776208|3384141.83|2.17|3392066|160.75|-7924.17|0|0.81|1|0|0|0|0.9500000000000001|0.28
1154|FIN|FINS|1667|1666.67|0.08|0|0|1666.67|1|0|0.08|2|0|0|0|0
1155|FIN|FINS|833|833.33|0.08|0|0|833.33|1|0|0.08|0|0|0|1|0
1156|FIN|FINS|54104611|27084166.67|0.17|27020444.33|0.25|63722.33|0|0|0.08|0|0|0|1|0.5
1157|FIN|FINS|12462246|5937517.87|12|6524728.33|5.5|-587210.46|-0.05|0.7000000000000001|1|0|0.8200000000000001|0.26|0.18|0.39
1158|FIN|FINS|1501894332|755112633.72|54.33|746781698.76|28549.5|8330934.95|0.01|0.21|1|0|0|0|0.78|0.5
1159|FIN|FINS|17079955|8715700|22.25|8364255.17|7|351444.83|0.02|0.63|1|0|0.84|0.18|0.13|0.4
1160|FIN|FINS|83251798|41523443.58|61.58|41728354.06|70.42|-204910.48|0|1.31|1|0|0|0|1|0.1
1161|FIN|FINS|83655|22637.58|0.25|61017.25|0.75|-38379.67|-0.46|1.11|0.42|1|0|0.19|1|0.28
1162|FIN|FINS|59023320|29431067.82|10.58|29592252.44|2350.75|-161184.61000000002|0|0.96|1|0|0|0|0.68|0.28
1163|FIN|FINS|1|0.8300000000000001|0.08|0|0|0.8300000000000001|1|0|0.08|5|1|0|0|0
1164|FIN|FINS|7628217|3483013.5|22.830000000000002|4145203.58|6.92|-662190.08|-0.09|1.6400000000000001|1|0|0.62|0.07|0.38|0.47000000000000003
1165|FIN|FINS|74867|37814.17|4.58|37052.42|1.25|761.75|0.01|0.42|1|0|0|1|0.24|0
1166|FIN|FINS|13191520|6546224.5|5.17|6645295.67|3.58|-99071.17|-0.01|1.12|1|0|0.39|0.36|0.28|0
1167|FIN|FINS|2611826|1355558.71|3.92|1256267|3.83|99291.71|0.04|0.58|1|0|0.66|0.5|0.31|0.24
1168|FIN|FINS|1325433|521159.41000000003|44.25|804274|26|-283114.59|-0.21|1.1400000000000001|1|0|0.58|0.35000000000000003|0.39|0.34
1169|FIN|FINS|4619350737|2268473236.76|491.83|2350877500|20|-82404263.24|-0.02|0.5|0.67|4|0.42|0|0.58|0
1170|FIN|FINS|6546189|3926213.77|63.75|2619975.31|1.92|1306238.46|0.2|1.32|1|0|0.71|0|0.27|0.34
1171|FIN|FINS|57525|33691.95|0.5|23833.33|0.42|9858.62|0.17|0.31|0.42|3|0.25|0.65|0|0
1172|FIN|FINS|25522306|12701472.5|4.08|12820833.33|6.33|-119360.83|0|0.46|1|0|0.02|0.99|0.98|0
1173|FIN|FINS|7921717|4093038.5|42.42|3828678|39.33|264360.5|0.03|0.68|0.75|0|0.46|0.98|0.5|0
1174|FIN|FINS|229|0|0|228.5|0.25|-228.5|-1|0.12|0.25|9|0|0|0|1
1175|FIN|FINS|1847594|1847594.17|3|0|0|1847594.17|1|0.96|0.92|0|0|0|0.98|0
1176|FIN|FINS|5380763|2797379.73|2.33|2583383.58|0.5|213996.15|0.04|2.32|0.5|0|0.02|0|0.93|0.47000000000000003
1177|FIN|FINS|833|833.33|0.08|0|0|833.33|1|0|0.08|0|0|0|0|0
1178|FIN|FINS|742029|352781.83|1.92|389246.92|4.75|-36465.08|-0.05|0.52|1|0|0|0.2|0.01|0.21
1179|FIN|FINS|8568270|4255932.92|4.58|4312337.5|2.92|-56404.58|-0.01|0.67|1|0|0.97|0.3|0.02|0.35000000000000003
1180|FIN|FINS|9104984|4065204.5|4.33|5039779.67|7.08|-974575.17|-0.11|0.72|1|0|0.73|0.73|0.27|0.15
1181|FIN|FINS|96278820|46929446.33|67.42|49349373.92|4|-2419927.58|-0.03|0.51|1|0|0.8|0|0.07|0.4
1182|FIN|FINS|3279581801|196076e4|4|1318821800.52|3.33|641938199.48|0.2|0.86|0.92|0|0|0|0.99|0.4
1183|FIN|FINS|51523952|26154696.42|60.17|25369255.83|9.42|785440.5800000001|0.02|0.58|1|0|0.97|0|0.03|0.49
1184|FIN|FINS|34681972|17634646.15|4.42|17047325.45|1327.92|587320.71|0.02|0.8300000000000001|1|0|0|0|0.23|0.4
1185|FIN|FINS|25074449|13182671.42|16|11891777.5|41.17|1290893.92|0.05|0.37|1|0|0.12|0.41000000000000003|0.65|0.07
1186|FIN|FINS|839196|430508.17|0.5|408688.08|7.08|21820.08|0.03|0.92|0.8300000000000001|1|0|0.63|0|0.01
1187|FIN|FINS|916851|866800.2000000001|0.33|50051.04|0.17|816749.17|0.89|1.16|0.33|2|0|0|0|0.05
1188|FIN|FINS|40555177|19709613.33|9.92|20845563.92|11.5|-1135950.58|-0.03|0.38|1|0|0.25|0.63|0.07|0.14
1189|FIN|FINS|1598483371|759495528.16|41.67|838987842.75|57.33|-79492314.59|-0.05|0.2|1|0|0.06|0.8300000000000001|0.34|0.08
1190|FIN|FINS|65857|26.080000000000002|0.08|65831|10.83|-65804.92|-1|1.07|1|0|0|0|1|0.02
1191|FIN|FINS|28674611|14516277.5|5.33|14158333.33|7.17|357944.17|0.01|0.41000000000000003|1|0|0.25|0.76|0.75|0
1192|FIN|FINS|26222233|13723819.46|98.5|12498413.21|4.08|1225406.25|0.05|0.52|1|0|0.84|0|0.16|0.24
1193|FIN|FINS|3401981|54791.67|10|3347189.33|1.25|-3292397.67|-0.97|1.2|0.8300000000000001|0|0.27|0|0.42|0
1194|FIN|FINS|474649|302083.33|0.8300000000000001|172566.15|1.42|129517.18000000001|0.27|0.77|0.5|0|0|0|0.1|0.36
1195|FIN|FINS|61517129|58729885.25|0.33|2787243.25|0.08|55942642|0.91|0|0.08|2|0|0|0|0
1196|FIN|FINS|5854280|2535006.58|5.5|3319273.42|8.17|-784266.8300000001|-0.13|2.07|1|0|0.29|0.21|0.22|0.21
1197|FIN|FINS|4986086|2291627.42|3.25|2694458.33|4.92|-402830.92|-0.08|0.59|1|0|0.32|0.58|0.64|0.22
1198|FIN|FINS|3343657455|2315625462.67|3981.33|1028031992.14|896.33|1287593470.53|0.39|0.22|1|0|0.08|0|0.84|0.3
1199|FIN|FINS|77674|40568.33|0.92|37105.75|5.08|3462.58|0.04|1.05|1|0|0|0.77|1|0
1200|FIN|FINS|4812329|2394792.83|4.75|2417536.25|28.25|-22743.420000000002|0|0.9500000000000001|1|0|0|0.13|0.36|0.12
1201|FIN|FINS|14054735|7342235|16.25|6712500|4.25|629735|0.04|0.55|1|0|0.99|0.1|0.01|0.43
1202|FIN|FINS|3027494681|1459384335.26|1760|1568110345.53|1594|-108726010.27|-0.04|0.19|1|0|0.13|0.23|0.75|0.08
1203|FIN|FINS|28540487|618728.58|8.5|27921758.01|257.25|-27303029.42|-0.96|0.54|1|0|0.78|0|0.05|0.01
1204|FIN|FINS|28119281|14110110.14|31.92|14009170.89|87.5|100939.25|0|0.58|1|0|0|0|0.1|0.37
1205|FIN|FINS|6051970|2783086.25|8.67|3268883.33|4.33|-485797.08|-0.08|0.7000000000000001|0.75|3|0.85|0.26|0.09|0.4
1206|FIN|FINS|6350624|3249667.25|5.92|3100957|72.83|148710.25|0.02|0.67|0.5|0|0.28|0.96|0.71|0
